question,correct,false
What are challenges to launching?,finding customers time management law abiding,"['too much market demand and no competition', 'achieving immediate profitability without any investment', 'operating without a business plan or defined target audience']"
What are the advantages of buying a business?,use existing customers reputation and infrastructure,"['ability to start from scratch with no previous history or baggage', 'lack of market competition', 'guaranteed profits from day one without any investment']"
What are some considerations when buying a business?,why being sold business info price potential,"['seller preferences and their favorite color', 'age of the building where the business operates', sellers vacation plans and hobbies""]"""
What is Social Entrepreneurship?,organizations that combat social issues,"['for profit organizations', 'government organizations', 'political groups']"
What do incubators provide?,coaching managing networking community,"[' strict working environment', 'limit innovation and creativity', 'focus on financial profits']"
Which federal organization finances and advises small businesses?,Business Development Bank of Canada,"['Velocity', 'Internal Revenue Service (IRS)', 'Employment and Social Development Canada']"
"What does Innovation, Science & Economic Development Canada provide? ",info on starting business market research,"['tax services and revenue collection for businesses', 'immigration services for foreign workers', 'environmental protection and natural resource management']"
What is the primary funding source for ventures?,personal savings,"['bank loans', 'angel investors', 'venture capitalists']"
What percent of funding comes from angel investors & venture capitalists?,2%,"['12%', '22%', '32%']"
What percent of funding comes from bank loans?,37%,"['47%', '57%', '67%']"
Angel investors,invest in early stage business in return for partial ownership,"['invest in established businesses expecting growth', 'gather money from the general public', 'use their own money to develop their own businesses']"
Venture Capitalists,invest in established businesses expecting growth,"['invest in early stage business in return for partial ownership', 'gather money from the general public', 'use their own money to develop their own businesses']"
crowdsourcing involves,gathering money from the general public,"['investing in established businesses expecting growth', 'investing in early stage business in return for partial ownership', 'using personal money to develop their own businesses']"
What is a Value Proposition?,what company offers customers,"['detailed description of a companys financial projections', 'legal agreement between a company and its shareholders', 'marketing tactic focused on reducing prices']"
What three factors aid your creation of a value proposition?,jobs pains gains,"['Company profits employee satisfaction social media presence', 'Historical sales data government regulations market trends', 'Brand colors office location employee uniforms']"
Jobs are,tasks that customers must complete,"['various employment roles within a company', 'specific features and functions of a product', 'salaries and benefits offered to employees']"
pains are,obstacles preventing customers from achieving task,"['physical discomfort experienced by customers when using a product', 'costs associated with hiring employees', 'benefits customers receive from a product or service']"
gains are,customer desires,"['financial profits of a company', 'resources required to produce a product', 'number of employees needed to operate a business']"
how many gains/pains should a company focus on?,a few,"['as many as possible', 'none', 'at least ten']"
What is an example of a company removing pains?,Amazon Go forgoing checkouts,"['Netflix allowing customers to binge shows', 'Starbucks increasing drink prices without any changes', 'Apple changing phone colours']"
What is the purpose of a business model?,How to create deliver capture value,"['to solve problems and complete tasks', 'outline the internal policies and procedures of a company', 'provide a detailed financial plan for investors']"
What are the parts of a Business Model Canvas?,customer segements value proposition channels customer relations revenue stream key resources key activities key partnership cost structure,"['Mission Vision Goals Branding', 'supply chain employee benefits marketing strategy', 'legal structure financial projections market trends']"
What are customer segements?,target customer,"['various products a company sells to different markets', 'employees responsible for different areas of the business', 'regions of operation']"
What are channels?,How to reach customers,"['communication platforms used by employees', 'company departments', 'legal pathways for compliance']"
What are revenue streams?,how company generates money,"['total expenses a company incurs', 'financial strategies a company uses to save money', 'distribution methods']"
What are key resources?,infrastructure to deliver value proposition,"['investments in marketing', 'software for daily operations', 'legal documents for operating in different markets']"
What are key activities?,tasks to perform well,"['meetings by leadership team', 'marketing campaigns', 'legal requirements']"
What are key partnerships?,suppliers who you will work with,"['shareholders who invest in the company', 'employees who work on product development', 'customers who provide feedback for product improvement']"
What are cost structures?,how finances are managed,"['pricing strategies to sell products', 'reducing prices for goods', 'investment in research and development']"
What are business plans?,summary of model to share with investors,"['document outlining the legal structure of a company', 'list of employees and their roles within the company', ""summary of a company's customer reviews and feedback""]"
What are the aims of a business plan?,nature of business target market understand market and competition qualifications,"['provide legal advice for the company', 'monitor employee performance and set salary guidelines', 'compare the companys products with its competitors products']"
What are common mistakes of a business plan?,ignore competition niche market procrastinating delusion,"['too much detail on company history', 'writing in a casual tone', 'focusing on marketing and too little on operations']"
What is the issue of targeting a niche market?,difficult to expand market share,"['increased competition from larger companies', 'difficult in marketing to a broad audience', 'high production costs']"
What is the problem with procrastination?,market environment changes quickly,"['increased productivity and efficiency', 'improved focus and concentration', 'enhanced creativity and problem solving']"
What do banks look for when considering loans?,business plans credit scores personal investment assets,"['entrapreneurs age and personal interests', 'entrapreneurs social media and presence', 'entrapreneur hobbies and extracirricular activities']"
What is the importance of record keeping?,inform decisions,"['more creative marketing strategies', 'focus on employee productivity', 'eliminates need for financial analysis']"
What should a business keep records of?,accounting inventory customer employee,"['employee personal information', 'Social media posts and online advertisements', 'employee preferences for lunch']"
Why should financial records be kept?,spend borrow if need more funding,"['sales receipts and invoices', 'employee schedules and attendance records', 'customer feedback']"
Inventory records should keep track of,stored materials usage time funds to upgrade,"['total value of all inventory items', 'employee preferences for handling inventory', 'customer feedback']"
What is the purpose of a business model?,To outline how a business creates delivers and captures value,"['To secure funding from investors.', 'To define the company's mission statement.', 'To list the company's products and services.', 'To predict future market trends.']"
What is Freemium?,"Main service is free, but extra services must be paid for","['A business model where all services are free.', 'A business model where users pay a subscription fee for access to all services.', 'A business model where users pay per use of the service.']"
What is the purpose of the business model canvas?,to map out a business model,"['To track financial performance', 'To conduct market research', 'To manage human resources']"
What are the parts of creating value?,Customer segments Value Proposition Channels and Customer Relations,"['Product Development Marketing Sales Customer Service', 'Research Design Production Distribution', 'Innovation Efficiency Cost Reduction Profit Maximization']"
What are customer segments?,Planned target audiences with similar needs & characteristics,"['Individual customers with unique purchasing habits', 'All customers who have purchased a product', 'The total number of customers a business has', 'Competitors customer bases']"
What is the purpose of analyzing customer segments?,To understand how to attract and retain customers,"['To improve product design.', 'To predict future market trends.', 'To reduce production costs.']"
What is a business segment?,When your customers are a business,"['A group of customers with similar needs and buying behaviors.', 'A specific product or service offered by a company.', 'A geographical area where a company operates.', 'A division of a company based on its organizational structure.']"
What are considerations for a business segment?,Business employees need equipment,"['Market size and potential', 'Customer needs and preferences', 'Competitive landscape', 'Profitability and return on investment']"
What is a consumer segment?,When your customers are consumers,"['A group of customers with similar needs and characteristics.', 'A specific product offered by a company.', 'The total number of customers a company has.', 'A marketing strategy used to reach all customers.']"
What are considerations for a consumer segment?,Age Income Education,"['Location Lifestyle Brand Loyalty', 'Gender Occupation Marital Status', 'Ethnicity Religion Political Affiliation']"
What is geographical segment?,How your customers are divided geographically,"['By age and income', 'By product usage', 'By brand loyalty']"
How might a product support a company's value proposition?,packaging service quality convenience brand design price,"['Packaging', 'Service', 'Quality', 'Convenience', 'Brand Design', 'Price']"
What are the four aspects of Channels?,Marketing Sales Distribution Service,"['Production Finance Human Resources Marketing', 'Research Development Design Manufacturing', 'Procurement Logistics Inventory Customer Relations']"
What is the difference between direct and indirect channels?,company owns direct channels while company uses channels of other companies in indirect channels,"['Direct channels involve company-owned distribution while indirect channels utilize third-party intermediaries.', 'Direct channels are faster while indirect channels are cheaper.', 'Direct channels offer greater control while indirect channels provide wider reach.', 'Direct channels focus on B2C sales while indirect channels target B2B markets.']"
What are advantages of using indirect channels?,utilise expertise reach and success of retailer,"['Utilize expertise and reach of retailer.', 'Reduced costs and investment.', 'Increased control over distribution.', 'Faster delivery times.', 'Direct customer interaction.']"
What is the importance of customer relations?,To build brand loyalty and a continual source of revenue,"['To improve employee morale.', 'To reduce marketing costs.', 'To increase product development speed.']"
What are the important parts of customer relations?,support options time convenience,"['Understanding customer needs', 'Providing excellent service', 'Effective communication', 'All of the above']"
What services might make customer relations more convenient?,self-service options or callback,"['24/7 live chat support', 'In-person appointments only', 'Email support only']"
What are some options for support that a company could implement?,phone digital in-store,"['Phone support', 'Digital support (e.g. website app)', 'In-store support', 'All of the above']"
What are the four classifications of resources?,human physical financial intellectual,"['Natural Renewable Non-renewable Sustainable', 'Tangible Intangible Material Immaterial', 'Labor Capital Land Entrepreneurship']"
What is the difference between tangible and in-tangible resources?,tangible resources are physical objects while in-tangible are not,"['Tangible resources are easily replaceable while intangible resources are not.', 'Tangible resources are physical objects while intangible resources are not.', 'Tangible resources are less valuable than intangible resources.', 'Tangible resources are controlled by management while intangible resources are not.']"
Which of the following are intellectual resources?,patents copyrights customer lists,"['Patents and copyrights', 'Customer lists', 'Patents copyrights and customer lists', 'None of the above']"
What is an example of a tangible human resource?,number of employees,"['Company culture', 'Employee morale', 'Training programs', 'Intellectual property']"
What is a patent?,protection on inventions preventing others from producing for 20 years,"[""A legal document protecting a company's brand name."", 'A contract outlining terms of employment.', 'A copyright for a creative work such as a book or song.']"
What is a copyright?,Right to produce IP for the lifetime of the creator and another 50 years,"[""The right to use someone else's intellectual property."", 'The exclusive right to copy and distribute creative work.', 'A government grant for an invention.', 'A type of trademark for a company logo.']"
Resources vary from industry to industry,True,['False']
Manufacturing is likely to have more,Physical Resources,"['Human Resources', 'Financial Resources', 'Intellectual Resources']"
What are key activities?,parts important to delivering value,"['Product development marketing and sales.', 'Resource acquisition technology development and operations.', 'Research and development procurement and logistics.', 'All of the above.', 'None of the above.']"
Activites that are not key can be,Outsourced,"['Ignored', 'Operated by the firm']"
What are key partners?,companies to collaborate with,"['Suppliers', 'Distributors', 'Strategic alliances', 'All of the above']"
Which of the following are potential key partners?,supply chain retailers,"['Suppliers', 'Distributors', 'Retailers', 'Customers', 'All of the above']"
What are the types of revenue streams?,transactional recurring,"['Transactional Recurring Subscription', 'One-time Monthly Annual', 'Sales Marketing Operations', 'Fixed Variable Mixed', 'Product Service Licensing']"
What are transactional revenues?,one time payments,"['Recurring payments', 'One-time payments', 'Subscription fees', 'Royalty payments']"
What are recurring revenues?,ongoing payments,"['One-time payments', 'Deferred payments', 'Variable payments']"
What are examples of recurring revenue streams?,subscriptions or licensing,"['Subscriptions and licensing', 'One-time sales and commissions', 'Royalties and dividends', 'Interest income and capital gains']"
What are some pricing strategies,What customers can pay recoup costs premium for quality service,"['Cost-plus pricing', 'Value-based pricing', 'Penetration pricing', 'Skimming pricing']"
What are fixed costs,remain same even if production increases,"['Costs that change with the level of output.', 'Costs that remain constant regardless of output level.', 'Costs associated with raw materials.', 'Costs related to labor.', 'Costs that increase proportionally with output.']"
What are variable costs?,cost per item changes if production increases,"['Costs that remain constant regardless of production volume.', 'Costs that change in total in direct proportion to changes in the volume of production.', 'Costs that are fixed within a relevant range but change at different production levels.', 'Costs associated with long-term assets.']"
What is marketing?,The process of creating communicating and delivering offerings,"['Simply advertising products or services to consumers.', 'Exclusively focusing on sales transactions.', 'Only conducting market research to understand consumer needs.']"
What is a market?,Customers with needs willing to buy,"['A place where goods are sold.', 'A system for exchanging goods and services.', 'A group of businesses competing.']"
What are trends in marketing?,data collection customer relations cause marketing social media,"['Data collection', 'Customer relations', 'Cause marketing', 'Social media', 'All of the above']"
How can one be successful in marketing?,identify and anticipate market needs,"['Consistent branding and messaging.', 'Strong sales team and distribution network.', 'Utilizing the latest technological advancements.', 'Aggressive pricing strategies.']"
What are the benefits of customer relations management?,To retain loyal customers,"['Increased sales', 'Improved customer satisfaction', 'Streamlined operations', 'Better market understanding']"
What is Cause Marketing?,Incorporating CSR into marketing,"['A marketing strategy focusing solely on profit maximization.', 'A method of marketing that ignores ethical considerations.', 'A form of advertising that solely promotes charitable donations.']"
What is the benefit of Social Media marketing?,Increased likelihood a business with survive after 5 years,"['Increased brand awareness', 'Improved customer engagement', 'Cost-effective advertising', 'All of the above']"
What is the purpose of market research?,"To understand customer preferences, the business environment, and align the company with customer needs","['To increase sales immediately.', 'To develop a new product line regardless of market demand.', 'To solely focus on competitor analysis.']"
What is the difference between primary and secondary research?,"Secondary research uses existing data, primary research is conducted by the firm","['Primary research is cheaper; secondary research is more expensive.', 'Primary research uses existing data; secondary research is conducted by the firm.', 'Secondary research uses existing data; primary research is conducted by the firm.', 'Primary research is faster; secondary research is slower.', 'There is no significant difference between the two.']"
What is secondary research useful for?,Tracking trends and understanding the business environment,"['Developing new products or services.', 'Conducting in-depth interviews.', 'Gathering primary data directly from customers.']"
What is primary research used for?,Understand customers and their reaction to your product,"['To analyze existing market data.', 'To replicate previous research findings.', 'To review competitor strategies.']"
What is the disadvantage of primary research?,More expensive,"['Less timely', 'Uses existing data', 'Less specific']"
What is the difference between B2C and B2B markets?,B2C sells to consumers while B2B sells to businesses,"['B2C focuses on long-term relationships; B2B focuses on short-term transactions.', 'B2C uses complex marketing strategies; B2B uses simple marketing strategies.', 'B2C involves higher transaction values; B2B involves lower transaction values.']"
What are some characteristics of B2C markets?,less people involved more emotional small purchases,"['Many intermediaries rational decisions large purchases', 'Long sales cycles complex negotiations large purchases', 'Few intermediaries rational decisions small purchases']"
What are characteristics of the B2B market?,longer process logic based less customers,"['Longer sales cycles complex decision-making processes fewer customers.', 'Shorter sales cycles simple decision-making processes many customers.', 'High customer loyalty frequent repeat purchases standardized products.', 'Impulse buying emotional decision-making price-sensitive customers.']"
What is market segmentation?,Dividing market based on similar characteristics,"['Dividing a market into smaller groups with similar characteristics.', 'Creating a new product for a specific customer.', 'Analyzing the overall market size.', 'Promoting a product to all consumers.']"
What is mass marketing?,One offering to satisfy most customers,"['Targeting specific customer segments with tailored offerings.', 'Creating a unique offering for each individual customer.', 'Focusing solely on online advertising channels.', 'Concentrating on a niche market with specialized needs.']"
What is a target market?,segment of sufficient size reach and profitability,"['A group of customers a company chooses not to serve.', 'All potential buyers of a product or service.', 'A segment of the market with sufficient size reach and profitability.', 'The geographical area where a company operates.', 'The specific product a company decides to manufacture.']"
What do consumers consider when making a purchase?,needs alternatives best option experience,"['Needs', 'Alternatives', 'Best option', 'Experience', 'All of the above']"
What are the three types of influences on consumers?,social psychological situational,"['cultural economic personal', 'environmental technological societal', 'marketing  governmental  competitive']"
What are psychological influences on customers?,attitudes regarding company,"['Perceived risk', 'Lifestyle and values', 'Learning and memory', 'All of the above']"
What are situational influences on customers?,purchasing environment,"[""The consumer's mood"", ""The consumer's culture"", 'Store atmosphere crowding and displays', ""The consumer's personality"", ""The consumer's family""]"
What are social influences on customers?,reviews of past customers,"['Reference groups and family', 'Cultural norms and values']"
What are the four parts of the marketing mix?,Product Price Place Promotion,"['Product Price Production Promotion', 'People Product Price Promotion', 'Product Price Place Publicity']"
"In the marketing mix, what is product?",good or service offered to customers,"['A specific price point for a good or service.', 'The process of promoting and selling a good or service.', 'The place where a good or service is sold.']"
What is the purpose of design and development?,To test ideas before greater investment.,"['To create aesthetically pleasing products.', 'To increase market share.', 'To improve manufacturing efficiency.']"
What is Concept Testing?,Survey target market on your ideas,"['Assessing the feasibility of a new product or service.', 'Gathering data on customer preferences.', ""Testing the marketing campaign's effectiveness."", 'Analyzing competitor strategies.']"
What is Test Marketing?,Launch at a small scale and adjust for upscaling,"['Launching a product nationwide to assess consumer response.', 'Conducting focus groups to gather feedback on product features.', 'Introducing a product to a limited geographic area to gauge market reaction before a full launch.', 'Analyzing competitor strategies to inform product development.']"
What is Crowdsourcing?,Utilising customers to design products,"['Utilizing customers to test products', 'Utilizing customers to design products', 'Utilizing employees to design products', 'Utilizing employees to test products']"
What is a disadvantage of Test Marketing?,Reveals product to competitors,"['High cost', 'Time-consuming', 'All of the above']"
What are the three considerations for Packaging?,Standing out simple to use necessary info,"['Attractiveness cost-effectiveness durability', 'Size weight material', 'Branding distribution storage']"
What is product differentiation?,Ensure a product stands out along the aisle,"['Creating a unique selling proposition.', 'Setting a competitive price point.', 'Focusing on mass production.', 'Utilizing economies of scale.']"
How can a company communicate its Value Proposition?,Packaging Pricing and Ads,"['Packaging', 'Pricing', 'Advertising', 'All of the above']"
What is a product line?,Similar products sold by a firm,"['A single product offered by a firm.', 'All products offered by a firm.', 'A group of unrelated products sold by a firm.']"
What is a Product Mix?,Different products sold by a firm to hit different markets,"['The total revenue generated from all products sold.', 'The number of variations of a single product offered by a firm.', 'The combination of products offered at a single price point.']"
What is the relationship between price and image?,Higher prices could be seen as prestigious while lower prices appear affordable,"['Higher prices always indicate higher quality.', 'Price and image are unrelated.', 'Lower prices always mean lower quality.']"
What is the Cost Plus strategy?,Price is based on costs,"['Price is based on competitor pricing', 'Price is based on perceived value', 'Price is based on market demand']"
What is Competitive Pricing?,Base prices off of competitiors,"['Setting prices higher than all competitors to project an image of exclusivity.', 'Ignoring competitor prices and focusing solely on internal cost analysis.', 'Base prices off of competitors.', 'Setting prices significantly lower than competitors to maximize market share regardless of profitability.']"
What is Value Based?,Base price off of what customers are willing to pay,"['Cost of production plus a profit margin', 'The lowest price a competitor offers', 'A fixed price regardless of demand']"
What is Price Skimming?,Set a high price to profit when competition is low,"['Setting a low price to quickly gain market share.', 'Setting a high price to profit when competition is low.', 'Matching competitor prices.', 'Setting a price based on production costs.']"
What is Penetration Pricing?,Set a low price to enter a competitive market,"['Setting a high price to recover development costs quickly.', 'Setting a price equal to competitors' prices.', 'Setting a price based on the perceived value of the product.']"
What are the various pricing strategies?,cost plus competitive pricing value-based price-skimming penetration pricing,"['Cost-plus pricing competitive pricing value-based pricing price skimming penetration pricing', 'Cost-plus pricing competitive pricing value-based pricing price skimming premium pricing', 'Markup pricing competitive pricing value-based pricing price penetration price skimming', 'Cost-plus pricing competitive bidding value pricing price skimming penetration pricing']"
What is a break-even analysis?,Evaluate when sales cover expenses,"['A method to determine the point where revenue equals expenses.', 'A forecasting tool to predict future sales.', 'A technique to analyze the profitability of individual products.', 'A strategy to minimize production costs.']"
What are fixed costs?,Costs that do not change when product changes,"['Costs that remain constant regardless of the level of output.', 'Costs that vary directly with the level of output.', 'Costs associated with raw materials.', 'Costs related to marketing and advertising.']"
What are variable costs?,Costs that change based on production,"['Costs that remain constant regardless of production volume.', 'Costs associated with fixed assets.', 'Costs related to administrative overhead.']"
What is the importance of Place?,Determine product distribution and opportunities,"['Determines product pricing strategies.', 'Influences consumer perception and brand image.', 'Impacts the overall marketing budget.']"
What is a Distribution Channel?,How products move from producer to consumer,"['The price a product is sold at.', 'The marketing strategy used to promote a product.', 'The location where a product is manufactured.']"
What are the role of Intermediaries?,Distribute products,"['To facilitate transactions between buyers and sellers.', 'To provide specialized services such as marketing and logistics.', 'To reduce search costs and transaction costs.', 'All of the above.']"
What are the three types of intermediaries?,retailers wholesalers agents,"['Manufacturers distributors consumers', 'Producers suppliers customers', 'Importers exporters brokers']"
What do retailers do?,sell to customers,"['Manufacture products', 'Develop raw materials', 'Transport goods internationally']"
What do wholesalers do?,Buy in bulk and sell to other firms,"['Buy in bulk and sell to retailers.', 'Manufacture goods and sell to consumers.', 'Provide services directly to consumers.', 'Buy individual items and sell to consumers.']"
What do agents do?,connect buyer and seller,"['Negotiate prices', 'Provide market analysis', 'Manage properties']"
What are the benefits of intermediaries?,efficient transport promotion or customer support,"['Efficient transport', 'Promotion', 'Customer support', 'All of the above']"
What are the three intensities of distribution?,intensive selective exclusive,"['Extensive Selective Inclusive', 'Intensive Selective Inclusive', 'Extensive Intensive Exclusive']"
What is intensive distribution?,Sell in as many retailers as possible,"['Selling a product through only one retailer in a specific geographical area.', 'Selling a product through a limited number of carefully selected retailers.', 'Selling a product in as many retailers as possible.', 'Selling a product exclusively online.']"
What is Selective Distribution?,Sell in specific outlets to cater to target markets or have good service,"['Selling a product through all available outlets.', 'Selling in specific outlets to cater to target markets or have good service.', 'Selling a product only online.', 'Selling a product only through wholesalers.']"
What is Exclusive Distribution?,Sell in very few outlets,"['Sell in many outlets', 'Sell directly to consumers', 'Sell only online']"
What is the purpose of Promotion?,To inform interest and interact with customers,"['To increase production efficiency.', 'To reduce manufacturing costs.', 'To improve employee morale.']"
What is Buzz Marketing?,Consumers market via word of mouth,"['A type of marketing that focuses on creating a viral sensation online.', 'A traditional marketing strategy using print and broadcast media.', 'Consumers marketing products via word of mouth.', 'A form of guerilla marketing involving stunts and unexpected events.']"
What the methods of the promotion mix?,Advertising Public Relations Sales Promotion Direct Marketing Personal Selling,"['Advertising Publicity Sponsorship Direct Mail Personal Selling', 'Marketing Advertising Sales Promotion Distribution', 'Branding Advertising Public Relations Sales Customer Service']"
What does Advertising involve?,Communicate via traditional media,"['Communicating a message to a target audience.', 'Creating and distributing marketing materials.', 'Building brand awareness and loyalty.', 'All of the above.']"
What does Public Relations involve?,Service the community to build a positive image,"['Building relationships with stakeholders.', 'Managing crises and negative publicity.', 'Promoting products and services.', 'All of the above.']"
What does Sales Promotion involve?,loyalty programs or deals to motivate customers to buy,"['Advertising campaigns in print and broadcast media', 'Public relations and media outreach', 'Long-term strategic planning and market research']"
What does Direct Marketing involve?,Contact consumers through email phone etc.,"['Using mass media advertising campaigns.', 'Contacting consumers through email phone etc.', 'Relying solely on social media marketing.', 'Focusing exclusively on print advertising.']"
What is Personal Selling?,Face to face selling,"['Advertising in magazines', 'Telemarketing', 'Email marketing']"
What is Relationship Marketing?,Develop loyal customers,"['Developing short-term transactional relationships.', 'Focusing solely on product features and benefits.', 'Creating a large customer base quickly.', 'Developing loyal customers.']"
What is Customer Relationship Management (CRM)?,Gather data on customers to identify loyal customers or assess effectiveness of marketing,"['A software system for managing marketing campaigns.', 'A strategy for improving customer service interactions.', 'A process for gathering data on customers to identify loyal customers or assess the effectiveness of marketing.', 'A method for tracking inventory and supply chain logistics.', 'A technique for analyzing competitor strategies.']"
What is a Brand?,A Name Logo or Design distinguishing a company or product,"['A legally protected trademark', 'A marketing campaign', ""A company's mission statement"", 'The price point of a product']"
What are the characteristics of a strong brand?,clear message product credibility emotional connection motivate buyer,"['High price extensive advertising celebrity endorsements global reach', 'Unique packaging wide distribution  long history  family-owned business', 'Consistent quality  strong customer service  innovation  market dominance']"
What is Brand Equity?,estimated value of a brand,"['The legal protection afforded a brand name.', ""The brand's market share."", ""The brand's marketing budget.""]"
How is Brand Equity measured?,Brand influence and loyalty,"['Financial performance indicators', 'Brand awareness and recall', 'Market share and distribution reach']"
What are the four stages of the product life cycle?,introduction growth maturity decline,"['Development Launch Expansion Decline', 'Idea Design Production Sale', 'Research Development Marketing Sales']"
What might occur during the introduction phase?,slow sales pricing might be low or high depending on strategy,"['maintain profits via promotion product changes intense distribution', 'competition arises prices based off of competition']"
What might occur during the growth phase?,rising sales competition arises prices based off of competition,"['pricing might be low or high depending on strategy', 'maintain profits via promotion product changes intense distribution',]"
What might occur during the maturity phase of a product?,peak sales maintain profits via promotion product changes intense distribution,"['slow sales', 'competition arises prices based off of competition']"
What might occur during the decline phase?,Falling profits as customers find substitutes adjust prices,"['Increased market share', 'Rapid expansion of the product line', 'Introduction of innovative features', 'Significant rise in customer demand']"
What is the advantage of a product mix regarding product life cycles?,Diversify life cycles,"['Increased production efficiency', 'Lower marketing costs', 'Simplified inventory management', 'Enhanced brand recognition']"
What is Operations?,manage resources to create goods or services,"['The process of planning and controlling resources.', 'The management of a company's finances.'', 'The marketing and sales of products.', 'The research and development of new products.']"
What are considerations for products?,Efficient production and quality,"['Cost and availability of raw materials', 'Target market demographics', 'Marketing and distribution strategies']"
What are considerations for services?,Quality at low cost,"['Speed of delivery and customer satisfaction', 'Technological advancement and innovation', 'Accessibility and geographical reach']"
How did Ford develop the assembly line?,standardize product process,"['Through increased worker specialization.', 'By implementing time-and-motion studies.', 'By utilizing interchangeable parts.']"
What is the result of the assembly line?,lower costs higher quality reliability,"['Lower costs', 'Higher quality', 'Increased reliability', 'All of the above']"
What were the social effects of the assembly line?,formed middle class,"['Increased social stratification', 'Decreased social mobility', 'Rise of a powerful aristocracy']"
Where does the strength of the Canadian economy lie?,Primary and Secondary industries,"['Tertiary and Quaternary industries', 'Tourism and Finance', 'Technology and Innovation']"
How can the Canadian economy be more competitive?,invest in education and appeal to talent,"['Increase corporate taxes.', 'Reduce environmental regulations.', 'Nationalize key industries.']"
What drives innovation in the Canadian economy?,Cooperation between government businesses and academia,"['Government regulation', 'Abundant natural resources', 'Low labor costs', 'High consumer spending']"
How can governments support innovation?,tax credits grants and help global outreach,"['Tax credits and grants', 'Deregulation and streamlined permitting processes', 'Investing in research and development', 'All of the above']"
What are the drivers of innovation?,leadership and workplace culture,"['Technological advancements', 'Government regulations', 'Market demand', 'Funding availability']"
Why do some companies lack innovation?,short term focus on success,"['Lack of skilled employees', 'Insufficient funding', 'Short-term focus on success', 'Poor market research', 'Ineffective leadership']"
What is productivity?,efficent transformation of inputs to outputs,"['Efficient transformation of inputs to outputs', 'The total number of units produced', 'The speed of production', 'The quality of the output']"
How can a company improve productivity?,reduce inputs or increase outputs,"['Increase employee salaries.', 'Implement a stricter dress code.', 'Shorten employee break times.']"
What steps can a company perform to improve productivity?,reduce activites that do not produce value reduce waste and improve quality,"['Reduce activities that do not produce value reduce waste and improve quality.', 'Increase employee hours automate all processes and outsource non-core functions.', 'Implement stricter deadlines micromanage employees and increase performance reviews.', 'Hire more employees invest in new technology without assessing needs and expand office space.']"
What are the three considerations for selecting company facilities?,proximity to customers proximity to resources government support,"['Accessibility cost security', 'Size location infrastructure', 'Technology workforce environmental impact']"
Why would a business wish to be closer to customers?,reduced transportation costs when near transportation routes,"['Reduced marketing costs', 'Improved customer service', 'Increased brand awareness', 'Reduced transportation costs']"
What government support might a business consider?,tax credits and laws,"['Tax breaks and incentives', 'Grants and subsidies', 'Loans and loan guarantees', 'Regulatory frameworks and legislation', 'All of the above']"
What is the importance of an optimized layout?,Improve workflow by reducing distance between steps,"['Enhanced user experience', 'Improved workflow by reducing distance between steps', 'Increased brand recognition', 'Better search engine optimization (SEO)']"
What are the three layout types?,product/line process/functional fixed position,"['sequential parallel concurrent', 'linear circular radial', 'centralized decentralized distributed']"
What is a product/line layout?,An assembly line,"['A functional layout', 'A fixed-position layout', 'A process layout']"
What is a process/functional layout?,products go through different stations,"['A layout where similar machines and processes are grouped together.', 'A layout that arranges work centers according to the sequence of operations.', 'A layout designed for efficient flow of materials.', ""A layout based on the product's final destination.""]"
What is a Fixed Position layout?,Employees work around the product,"['A layout where machines are arranged according to the sequence of operations.', 'A layout that groups similar machines together.', 'A layout that arranges departments based on their workflow.']"
What is Customer-Facing Services?,designed to support customers,"['Direct interaction with customers to address their needs and resolve issues.', 'Internal processes that indirectly support customer interactions.', 'Marketing and advertising efforts aimed at attracting new customers.', 'Product development and design based on customer feedback.', 'Financial planning and budgeting for the company.']"
What is the goal of operations control?,low cost timely and acceptable quality,"['Maximum profit', 'High market share', 'Technological innovation']"
What percent of the budget do companies spend on raws or services?,65%,"['45%', '55%', '75%']"
How do companies determine how much raws to buy?,By forecasting sales,"['By analyzing competitor pricing', 'By checking current inventory levels', 'By randomly selecting quantities']"
What are the benefits of having fewer suppliers?,reduce time and money and negotiate better prices,"['Reduced lead times and improved quality control.', 'Lower transaction costs and simplified procurement processes.', 'Stronger supplier relationships and increased innovation.', 'All of the above.']"
What might be a disadvantage in standardized suppliers?,Poor quality in parts affect many products,"['Increased lead times', 'Reduced bargaining power', 'Poor quality in parts affects many products', 'Limited innovation', 'Higher costs per unit']"
What are the primary considerations for inventory management?,excess raws might expire or tie up money,"['Cost of goods sold and customer service levels.', 'Storage space and insurance costs.', 'Risk of obsolescence and carrying costs.', 'Supplier reliability and lead times.', 'All of the above.']"
What is Just-In time management?,raws delivered just before use,"['A method of scheduling that prioritizes tasks based on their urgency.', 'A technique for improving employee productivity through time management training.', 'A strategy for reducing waste by streamlining production processes.']"
What are the three considerations regarding suppliers?,reliability quality and logistics,"['Price Availability Capacity', 'Technology Innovation Sustainability', 'Service Responsiveness Flexibility']"
How can a company coordinate with its suppliers?,communication and data sharing,"['Regular meetings and informal communication', 'Strict adherence to contracts only', 'Financial incentives alone']"
What are the primary considerations for logistics?,Managing deliveries from multiple suppliers to send to production,"['Cost optimization', 'Time efficiency', 'Inventory management', 'All of the above']"
What are the three types of production?,made-to-order mass production mass customization,"['Job production Batch production Continuous production', 'Unit production Flow production Cellular production', 'Craft production Lean production Agile production']"
